candidate_id,bucket
# VERIFIED section — your [x] marks (kill)
c001,verified_killed
c002,verified_killed
c003,verified_killed
c004,verified_killed
c005,verified_killed
c006,verified_killed
c009,verified_killed
c012,verified_killed
c016,verified_killed
c017,verified_killed
c019,verified_killed
c034,verified_killed
c053,verified_killed
c209,verified_killed
c217,verified_killed
# INSUFFICIENT_DATA section — your [x] marks (kill)
c007,insufficient_killed
c025,insufficient_killed
c033,insufficient_killed
c083,insufficient_killed
c084,insufficient_killed
c087,insufficient_killed
c095,insufficient_killed
c125,insufficient_killed
c163,insufficient_killed
c167,insufficient_killed
c168,insufficient_killed
c218,insufficient_killed
c230,insufficient_killed
# UNTOUCHED section — your [x] marks (kill)
c042,untouched_killed
c062,untouched_killed
c066,untouched_killed
c101,untouched_killed
c103,untouched_killed
c109,untouched_killed
c131,untouched_killed
c147,untouched_killed
c152,untouched_killed
c160,untouched_killed
c171,untouched_killed
c177,untouched_killed
c180,untouched_killed
c181,untouched_killed
c204,untouched_killed
c205,untouched_killed
c222,untouched_killed
